,validity,uniqueness,novelty,internal_diversity,logP_avg,logP_mode,tPSA_avg,tPSA_mode,QED_avg,QED_mode,SAS_avg,SAS_mode,NP_avg,NP_mode,MW_avg,MW_mode,NATOM_avg,NATOM_mode,MSD,MAD,MIN,MAX,SD
tf-1step_0,0.9792516313213703,0.4968504346920714,0.9355522577909688,0.8591441341967172,3.5050586777031074,3.483976117611764,84.01462543599527,77.89520252025201,0.6114068133926728,0.7420031318159982,2.849103854688619,2.4311645924142216,-1.1836292661247414,-1.3049693786861427,392.80623842989837,427.04848904890486,28.05476599510646,30.17901790179018,0.005058677703160727,0.35200669998437767,-4.8336,3.474600000000004,0.5447712014037364
tf-1step_1,0.9763627101375446,0.45205050610456016,0.9261807580174927,0.8587905889562292,3.540238178023563,3.500172687268728,82.81039183971771,78.2373107310731,0.6124967558838129,0.7502834224676762,2.8367730768973534,2.416639938628335,-1.183851645821113,-1.2853904268330743,392.278118647598,423.4356732673267,28.00928727955755,30.053605360536054,0.04023817802358415,0.3404499634769802,-3.7635,3.118900000000002,0.49387116467635367
tf-1step_2,0.9789008083786669,0.4575672587514283,0.9296436346969176,0.8593824320633634,3.4712271413731997,3.496286448644868,83.16000882933541,77.1077107710771,0.6171105289708507,0.6778267686194054,2.8507775125563275,2.373215912566015,-1.1876807324299392,-1.2915907029370004,389.81841799105933,434.03376507650785,27.831671341020048,29.558155815581557,-0.02877285862677679,0.3460663249194895,-5.2936,3.6366000000000067,0.5194877118992691
tf-1step_3,0.9774745066206687,0.4789536513209114,0.9350279390818451,0.8591690654505341,3.580741641148047,3.526220382038206,83.45431670732451,78.8704110411041,0.6097976173968306,0.7430824674132632,2.8523599348104467,2.397884429915787,-1.185956533999205,-1.284611346183425,394.90940571961823,434.25715461546173,28.156537084133493,30.546354635463548,0.08074164114807805,0.3551772979706213,-4.8336,3.190400000000002,0.5411452572518278
tf-1step_4,0.9790575916230366,0.47697419656300294,0.9335602899187349,0.8593741374673134,3.512309845802312,3.5134818581858207,83.72193292144844,81.00101710171013,0.6102232556379109,0.7456721727147642,2.855756156670092,2.403362968163047,-1.1819659123566957,-1.3458911468739219,393.20489689008036,436.18030383038325,28.099164114012773,30.19141914191419,0.012309845802399463,0.3406238211930776,-4.8336,4.159900000000003,0.5253767873737868
tf-2step_0,0.9736105979838496,0.6906814116116442,0.939873417721519,0.8604642572556485,3.489476994633274,3.4673055805580573,84.82674039139131,77.45805980598058,0.6120689086017957,0.6723462392020148,2.8390054317152766,2.403830547151946,-1.1926630188488665,-1.3026337511530288,391.62888041415226,420.1305626562654,27.999728953217325,30.133513351335136,-0.010523005366725832,0.4252632666558202,-4.5823,4.1026000000000025,0.5922414763368498
tf-2step_1,0.9727801268498943,0.6628090192882369,0.9335040475797125,0.8593395242683436,3.5346585199673766,3.472429522952298,84.2585482205922,80.44570357035704,0.6113947216640764,0.6727623865316255,2.820815278338174,2.4048194074651303,-1.1943290712257286,-1.3250176015127773,391.8018382504696,419.74180288028793,27.963488182559086,29.65806580658066,0.034658519967400644,0.41466719152403975,-4.4435,4.525600000000004,0.5675206151769728
tf-2step_2,0.9729132698679851,0.6616931560168667,0.9364857072246479,0.8601712456483193,3.4733103632825055,3.5045644664466447,83.75943615526019,79.11741574157415,0.6182840620468439,0.6744705469251427,2.840502131107788,2.502014560744306,-1.186166507866061,-1.3402392195060653,387.3898670667068,419.8546854685468,27.700508163044653,29.21962196219622,-0.026689636717481473,0.41423713158178954,-4.340300000000001,3.465,0.563629281339415
tf-2step_3,0.9706606590873369,0.692178982026232,0.9404836683417085,0.8607751617785756,3.6125861197171507,3.6065808280828104,83.8610940789111,76.8211521152115,0.605967459274454,0.6801554664139725,2.8528633513597383,2.44952052244735,-1.1879782336991458,-1.342538009809068,394.6974232741348,421.88084828482863,28.150051276515356,29.65166516651665,0.1125861197171698,0.44109964700166726,-5.4727,4.162400000000003,0.6130398031547798
tf-2step_4,0.974350854971501,0.6874661466796663,0.9394372913686219,0.8602597112474561,3.524825401364911,3.4983943894389444,83.27350503737385,82.06394239423943,0.6115352205956497,0.6715209793499098,2.838400340862752,2.3619432926654307,-1.1790068666887363,-1.3029027788834906,389.87016233343934,428.41809820982127,27.91003141588127,29.189218921892188,0.02482540136496657,0.40402399956667473,-4.167300000000001,4.288400000000003,0.5617440916400479
tf-3step_0,0.9702011798517622,0.7802203513148321,0.9437299035369775,0.8600881416823517,3.486133747011761,3.4761276227622777,86.11119582164046,77.63894389438944,0.6061793907453928,0.665562872370653,2.827495721142332,2.380491238631963,-1.2074122496929494,-1.3164548488068717,392.17993826005744,416.62039813981403,28.027076187506495,29.778877887788777,-0.01386625298825402,0.48479533312545553,-3.8841000000000006,4.031900000000003,0.6503936569483046
tf-3step_1,0.9698430047694754,0.7555453101787818,0.9406507947336108,0.8604531507931336,3.544191961477379,3.5625165616561674,83.67479739767445,83.8637703770377,0.6112688565264772,0.6763322881758841,2.818378850701892,2.425420648722465,-1.1931768696173113,-1.3601679067079813,389.8524171917439,416.8428692869287,27.80579888325393,29.41014101410141,0.04419196147738398,0.482375105783512,-3.9169,4.020500000000004,0.6483559694407712
tf-3step_2,0.9705321285140562,0.7628924636631667,0.9440425822301078,0.8615456395575501,3.458866772875378,3.526737383738374,83.40969430507516,77.43679567956795,0.6214506432211476,0.6824306398649314,2.815912698312635,2.4979093081307697,-1.2058538447187046,-1.3110206020194242,384.8513561268291,422.052865586559,27.453318160657943,28.82938293829383,-0.04113322712460474,0.4890408751874981,-4.599,4.0577000000000005,0.6502928519066641
tf-3step_3,0.968192627824019,0.7845154027223417,0.9467952502788165,0.8612980942120889,3.6390014737488756,3.6541464846484653,84.65467301197394,75.73171117111711,0.6053233389567507,0.674261955692776,2.843114611350675,2.6639528587982655,-1.198742823085883,-1.345963714775209,394.52596402619554,425.5869603960395,28.13939207859994,29.826082608260826,0.13900147374884864,0.49296132228021794,-4.6417,3.466800000000001,0.6440135925453377
tf-3step_4,0.9666849533689092,0.7823350358561626,0.9439580846266084,0.860333056727463,3.498226685239618,3.548369816981699,84.37435071970343,79.36461646164615,0.6107222801577276,0.6783364304869305,2.846763941259213,2.462424820811805,-1.1909954878777547,-1.303452474663621,390.7505632255049,414.70394869486927,27.996027446731674,29.31023102310231,-0.001773314760356437,0.5063689377289333,-4.778600000000001,4.239500000000001,0.6895499428130794
tf-4step_0,0.9614564631956912,0.8235397094007119,0.9437031751694613,0.8602608918053235,3.4566933488941936,3.421551235123513,85.61023166248289,84.13860186018601,0.6106943250389348,0.6683768876614008,2.815100468233622,2.465547962188043,-1.229563996006274,-1.3509720322842869,391.09826568243903,417.02241914191416,27.952908910544437,29.91089108910891,-0.043306651105793785,0.5406013491276194,-4.9358,3.8232000000000026,0.725320075207328
tf-4step_1,0.9603004880188627,0.8121966539142351,0.941696113074205,0.8602179920497398,3.570513410609265,3.618372697269727,83.42247930108896,76.96177417741774,0.6114720545283557,0.6764861320426683,2.799928725613255,2.4173166502767263,-1.2064319464310083,-1.3463183208887575,390.2791119168598,419.6727991799181,27.808142522697423,29.654565456545654,0.07051341060926261,0.5409327128418869,-4.8636,4.185400000000001,0.7156942422436251
tf-4step_2,0.9681688725079578,0.8102324508277096,0.9407391521910072,0.86046927764117,3.4659837907365785,3.5194259225922595,83.19800080751938,79.51865286528651,0.619986608526908,0.6779103570013367,2.8129964595266324,2.4601784006961567,-1.1992542207452157,-1.3496776820303205,384.4647632231616,421.4768471847187,27.4563649997116,29.420542054205423,-0.03401620926342423,0.5438222149160716,-4.7114,3.9905000000000026,0.7260125400457004
tf-4step_3,0.961498094238524,0.8292542801332874,0.9487054565701559,0.861313209224855,3.6221328553372407,3.6818299229923035,84.61275249913653,76.51434343434344,0.5982989489292972,0.6746919451721585,2.8396352284541364,2.497680672901823,-1.1985035756336035,-1.3540922987751407,394.722218085716,426.6695198519852,28.14765023555096,29.648364836483648,0.12213285533724018,0.5765532597954726,-4.4201,4.065000000000006,0.7685119945668683
tf-4step_4,0.9619010647737356,0.8370135485730759,0.9421493322261435,0.8612550456742193,3.4650587650619604,3.4917216421642157,84.65842317670612,82.56009600960097,0.6134616024509412,0.6783741685880033,2.8322956768408014,2.3787428591889017,-1.1752806176675774,-1.350121562072867,387.7731048717193,425.70043694369417,27.73894494090516,29.500450045004502,-0.034941234938021676,0.5469190660132566,-5.451499999999999,5.5527,0.7368909763522772
